ancient,old,new,PSA 0.1ug/ml Slide#14031 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 1ug/ml Slide#14039 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 10ug/ml Slide#14040 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 100ug/ml Slide#14031 CFG#2342 v5.0 Alexa488 6/27/11 HJ,PSA 10ug/ml Slide#14172 CFG#2342 v5.0 Alexa488 7/6/11 HJ
Galβ1-4GlcNAcβ1-2Manα1-3Manβ1-4GlcNAcβ1-4GlcNAc-Sp12,Galb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,Galb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,13.829074999999998,13.090949999999996,14.851274999999998,34.038850000000004,-0.4296000000000024
Galβ1-4GlcNAcβ1-2Manα1-6Manβ1-4GlcNAcβ1-4GlcNAc-Sp12,Galb1-4GlcNAcb1-2Mana1-6Manb1-4GlcNAcb1-4GlcNAc-Sp12,Galb1-4GlcNAcb1-2Mana1-6Manb1-4GlcNAcb1-4GlcNAc-Sp12,8.78795,9.173175,2.703075000000002,16.989650000000008,45.4887
Galβ1-4GlcNAcβ1-2Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Galb1-4GlcNAcb1-2Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,12.4608,6.629624999999999,41.54412500000002,18.998425,6.693974999999997
GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4(Fucα1-6)GlcNAcβ-Sp22,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,96.97070000000002,3601.670225,9897.949425,18616.357975,1101.740875
Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4(Fucα1-6)GlcNAcβ-Sp22,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,77.07172500000003,6157.019250000001,20797.966175,26099.293399999995,3383.7915000000007
Galβ1-3GlcNAcβ1-2Manα1-3(Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4(Fucα1-6)GlcNAcβ-Sp22,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,Galb1-3GlcNAcb1-2Mana1-6(Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,215.714475,8324.17855,16940.802825,28004.32265,2894.595500000001
Galβ1-3(Fucα1-4)GlcNAcβ1-2Manα1-3(Galβ1-3(Fucα1-4)GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp19,Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3(Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,,,,,,
[6OSO3]GlcNAcβ1-3Galβ1-4GlcNAc-β-Sp0,[6OSO3]GlcNAcb1-3Gal b1-4GlcNAc-b-Sp0,(6S)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,7.447699999999998,10.1553,32.663524999999986,6.590725000000001,39.18685000000001
KDNα2-3Galβ1-4(Fucα1-3)GlcNAc-Sp0,KDNa2-3Galb1-4(Fuca1-3)GlcNAc-Sp0,KDNa2-3Galb1-4(Fuca1-3)GlcNAc-Sp0,-2.5993499999999994,14.430874999999995,13.583875,36.769599999999976,16.72415
KDNα2-6Galβ1-4GlcNAc-Sp0,KDNa2-6Galb1-4GlcNAc-Sp0,KDNa2-6Galb1-4GlcNAc-Sp0,0.8585500000000001,5.81575,12.80935,16.439125,18.100800000000003
KDNα2-3Galβ1-4Glc-Sp0,KDNa2-3Galb1-4Glc-Sp0,KDNa2-3Galb1-4Glc-Sp0,6.407575000000001,7.209050000000002,6.9730250000000025,19.47455,14.499500000000005
