ancient,old,new,Human DC-Sigh-AF488 200ug/ml Slide#15317 CFG#2569 v5.0 Alexa488 3/28/12 HJ,Human DC-Sign-R-AF488 200ug/ml Slide#15318 CFG#2569 v5.0 Alexa488 3/28/12 HJ,Human DC-Sign-tetramer 200ug/ml Slide#15320 CFG#2569 v5.0 Alexa488 3/29/12 HJ,Human-DC-Sign-R-Tetramer 200ug/ml Slide#15321 CFG#2569 v5.0 Alexa488 3/29/12 HJ,Human DC-Sign(Gal) (200ug/mL) Slide#11435 CFG#1874 v4.1 Alexa488 2/4/10 Hong
6-H2PO3Manα-Sp8,6-H2PO3Mana-Sp8,(6P)Mana-Sp8,13.28205,23.132400000000004,9.028150000000004,49.58642500000001,-0.5861000000000001
[6OSO3]Galβ1-4Glcβ-Sp0,[6OSO3]Galb1-4Glcb-Sp0,(6S)Galb1-4Glcb-Sp0,37.28285,33.46147500000001,7.7716749999999974,46.82530000000001,10.57875
[6OSO3]Galβ1-4Glcβ-Sp8,[6OSO3]Galb1-4Glcb-Sp8,(6S)Galb1-4Glcb-Sp8,24.160675,49.869325,22.129475,17.120225000000005,0.4660500000000001
[6OSO3]Galβ1-4GlcNAcβ-Sp8,[6OSO3]Galb1-4GlcNAcb-Sp8,(6S)Galb1-4GlcNAcb-Sp8,78.3513,340.97125,18.808999999999994,48.6351,4.627375000000002
[6OSO3]Galβ1-4[6OSO3]Glcβ-Sp8,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8,(6S)Galb1-4(6S)Glcb-Sp8,12.889275000000005,98.6356,46.70082500000001,103.03525000000002,6.860150000000001
Neu5Acα2-3[6OSO3]Galβ1-4GlcNAcβ-Sp8,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8,Neu5Aca2-3(6S)Galb1-4GlcNAcb-Sp8,10.307575,59.14025000000001,23.251200000000004,219.93355,4.553424999999999
[6OSO3]GlcNAcβ-Sp8,[6OSO3]GlcNAcb-Sp8,(6S)GlcNAcb-Sp8,18.695899999999995,85.43897500000003,3.5535500000000013,23.377125,0.6991250000000004
[9NAc]Neu5Acα-Sp8,Neu5Ac(9Ac)a-Sp8,"Neu5,9Ac2a-Sp8",15.362800000000005,11.625150000000005,16.453649999999996,18.298725,3.390725000000001
[9NAc]Neu5Acα2-6Galβ1-4GlcNAcβ-Sp8,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8,"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8",25.419649999999994,89.62162499999998,20.934225000000005,50.800375,6.101124999999998
Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,30.741725,216.539275,6.6561499999999985,175.6433,7.613399999999999
Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,19.81905,215.204975,35.92212500000001,132.46002499999997,0.01595000000000013
GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,94.57485,138.00625,26.432199999999995,227.694225,6.150325000000002
GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,,GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,13.556224999999998,181.622275,102.08704999999998,225.672475,6.398675000000001
Galβ1-4GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Galb1-4GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,66.71794999999997,129.06732500000004,51.24025,78.40075000000002,5.36115
Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-N(LT)AVL,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-N(LT)AVL,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,15.302749999999996,87.15060000000004,-0.06297500000000067,50.03292500000001,9.642474999999996
Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp8,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,64.594775,164.32715,34.57715,311.97335,5.440174999999997
Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Man-a1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,50.327575,280.9903,4.7989000000000015,56.21027500000002,10.37995
Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp13,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,56.09949999999999,49.59860000000001,33.57275,205.46332500000003,-2.0723000000000003
Fucα1-2Galβ1-3GalNAcβ1-3Galα-Sp9,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,13.253424999999993,64.38884999999999,37.70575,161.73195,9.104575
Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp9,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,16.43325,224.62345,26.1903,131.1486,2.0360499999999995
Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,88.98332499999998,433.636575,4.519424999999999,127.50897499999996,4.8546749999999985
Fucα1-2Galβ1-3GalNAcα-Sp8,Fuca1-2Galb1-3GalNAca-Sp8,Fuca1-2Galb1-3GalNAca-Sp8,25.84302500000002,291.42712499999993,19.5089,307.776625,2.6354
Fucα1-2Galβ1-3GalNAcα-Sp14,Fuca1-2Galb1-3GalNAca-Sp14,Fuca1-2Galb1-3GalNAca-Sp14,18.494750000000003,162.62797500000005,16.0659,36.75042500000001,3.485650000000001
Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,66.17280000000002,80.92232500000001,40.44495000000001,309.0460500000001,1.8740000000000023
Fucα1-2Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp9,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,7.502874999999999,82.19559999999998,28.3254,221.165275,5.3919
Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ-Sp8,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,27.8429,19.238724999999995,35.256299999999975,95.206475,12.114350000000002
Fucα1-2Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ-Sp10,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,23.193125,69.84122500000001,19.584225,51.43572500000001,2.1270000000000007
Fucα1-2Galβ1-3GlcNAcβ-Sp0,Fuca1-2Galb1-3GlcNAcb-Sp0,Fuca1-2Galb1-3GlcNAcb-Sp0,18.741425,92.755075,22.06217500000001,38.46597499999999,5.226974999999999
Fucα1-2Galβ1-3GlcNAcβ-Sp8,Fuca1-2Galb1-3GlcNAcb-Sp8,Fuca1-2Galb1-3GlcNAcb-Sp8,19.271025,16.020149999999973,26.36515,493.034775,3.1505500000000013
Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,5276.813449999999,67.2113,8375.628825,71.53282499999997,4.6656
Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,3124.980400000001,88.213475,3687.959150000001,152.15257499999996,3.1943250000000014
Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,1059.2355749999997,21.482224999999996,678.88645,66.52185,4.340924999999999
Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,34.128925,155.13107499999995,462.99295000000006,78.31507500000002,-2.9296500000000005
Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,30.811475,225.603075,6.8158,136.46880000000002,8.451274999999999
Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,32.661150000000006,200.947775,52.876949999999994,39.42450000000001,6.086699999999999
Fucα1-2Galβ1-4GlcNAcβ-Sp0,Fuca1-2Galb1-4GlcNAcb-Sp0,Fuca1-2Galb1-4GlcNAcb-Sp0,42.5467,304.05277500000005,21.228075000000004,51.58962500000001,8.027650000000001
Fucα1-2Galβ1-4GlcNAcβ-Sp8,Fuca1-2Galb1-4GlcNAcb-Sp8,Fuca1-2Galb1-4GlcNAcb-Sp8,55.917175,153.65407499999995,55.814275,82.154375,3.8419250000000007
Fucα1-2Galβ1-4Glcβ-Sp0,Fuca1-2Galb1-4Glcb-Sp0,Fuca1-2Galb1-4Glcb-Sp0,48.27045,54.5403,38.99802499999999,25.62074999999999,1.5669000000000004
Fucα1-2Galβ-Sp8,Fuca1-2Galb-Sp8,Fuca1-2Galb-Sp8,54.734675,44.2204,49.45505,112.91525,3.3335000000000026
Fucα1-3GlcNAcβ-Sp8,Fuca1-3GlcNAcb-Sp8,Fuca1-3GlcNAcb-Sp8,55.215025,294.9052749999999,79.76305,89.02745000000002,-0.2781999999999991
Fucα1-4GlcNAcβ-Sp8,Fuca1-4GlcNAcb-Sp8,Fuca1-4GlcNAcb-Sp8,68.8584,27.772049999999997,176.192475,265.83625,-1.2334250000000004
Fucβ1-3GlcNAcβ-Sp8,Fucb1-3GlcNAcb-Sp8,Fucb1-3GlcNAcb-Sp8,203.20845,123.904825,150.103975,51.853325,5.790600000000002
GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,38.414275,106.57764999999998,71.61917500000001,110.419325,-0.2040500000000005
GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,612.8196250000002,310.8213,253.13387500000005,184.70015,14.949750000000002
[3OSO3]Galβ1-4(Fucα1-3)Glc-Sp0,[3OSO3]Galb1-4(Fuca1-3)Glc-Sp0,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,58.50919999999999,244.360375,17.16945,74.957725,1.4418500000000014
GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,74.09565,660.406725,15.362375000000005,170.249075,4.004599999999999
GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,136.53709999999998,481.065675,19.0303,269.12347500000004,6.562724999999999
GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,102.17197500000002,742.4396750000002,42.98587500000002,290.14985000000013,0.4611500000000008
GlcNAcβ1-3Galβ1-3GalNAcα-Sp8,GlcNAcb1-3Galb1-3GalNAca-Sp8,GlcNAcb1-3Galb1-3GalNAca-Sp8,99.42822499999998,465.810125,13.565449999999995,409.0275,9.031625
GalNAcα1-3(Fucα1-2)Galβ-Sp8,GalNAca1-3(Fuca1-2)Galb-Sp8,GalNAca1-3(Fuca1-2)Galb-Sp8,89.77947499999998,37.22715,44.26540000000001,148.200475,6.686775000000003
GalNAcα1-3(Fucα1-2)Galβ-Sp18,GalNAca1-3(Fuca1-2)Galb-Sp18,GalNAca1-3(Fuca1-2)Galb-Sp18,31.549300000000013,543.40125,61.341225,472.62410000000006,-0.1626999999999983
GalNAcα1-3GalNAcβ-Sp8,GalNAca1-3GalNAcb-Sp8,GalNAca1-3GalNAcb-Sp8,13.965625,76.98567500000001,15.570475000000002,233.17307499999995,6.513874999999999
GalNAcα1-3Galβ-Sp8,GalNAca1-3Galb-Sp8,GalNAca1-3Galb-Sp8,30.43615,159.58867499999997,33.419925000000006,165.84259999999998,1.2893250000000016
GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,200.071775,102.49212499999996,94.60390000000002,270.8592,6.38435
GalNAcβ1-3GalNAcα-Sp8,GalNAcb1-3GalNAca-Sp8,GalNAcb1-3GalNAca-Sp8,19.165600000000005,49.108375,25.37072500000001,155.610625,4.744000000000003
GalNAcβ1-3(Fucα1-2)Galβ-Sp8,GalNAcb1-3(Fuca1-2)Galb-Sp8,GalNAcb1-3(Fuca1-2)Galb-Sp8,23.52265,10.145600000000002,27.458874999999995,126.631025,5.0648
GalNAcβ1-3Galα1-4Galβ1-4GlcNAcβ-Sp0,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,30.21045000000001,109.998225,41.75977500000001,145.26784999999995,1.7263500000000018
GalNAcβ1-4(Fucα1-3)GlcNAcβ-Sp0,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,247.256475,159.0771,247.428075,285.562025,5.4501750000000015
GalNAcβ1-4GlcNAcβ-Sp0,GalNAcb1-4GlcNAcb-Sp0,GalNAcb1-4GlcNAcb-Sp0,57.927775,92.60840000000003,16.780775,92.729375,6.129649999999996
