ancient,old,new,Galectin-4 (20ug/ml) Slide#: 13620 Cfg#2283 04/01/2011 V5.0 Alexa488 CMZ,Gal-4 (0.5ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (5ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (50ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (100ug/mL) Slide# 13116 CFG# 1440 08/30/2010 V4.2 Alexa488 CMZ
Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp8,3.878575,105.967,646.381925,12020.39683,31227.45793
Galα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,Gala1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,650.2829,529.74235,6893.56615,25713.60953,29308.34148
Galα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,Gala1-3(Fuca1-2)Galb1-4Glcb-Sp0,1045.41565,0.1436,18.078475,15.0673,29.28065
Galα1-3(Fucα1-2)Galβ-Sp8,Gala1-3(Fuca1-2)Galb-Sp8,Gala1-3(Fuca1-2)Galb-Sp8,25.353425,11.043625,6.9633,13.148375,18.251975
Galα1-3(Fucα1-2)Galβ-Sp18,Gala1-3(Gala1-4)Galb1-4GlcNAcb-Sp8,Gala1-3(Fuca1-2)Galb-Sp18,11.465325,14.779475,4.7251,3.844325,9.5761
Galα1-3(Galα1-4)Galβ1-4GlcNAcβ-Sp8,Gala1-3GalNAca-Sp8,Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,18.452925,14.0177,8.323225,27.11815,404.2432
Galα1-3GalNAcα-Sp8,,Gala1-3GalNAca-Sp8,44.38705,21.7883,46.91085,53.460375,90.5822
Galα1-3GalNAcα-Sp16,Gala1-3GalNAca-Sp16,Gala1-3GalNAca-Sp16,6.023375,8.0203,16.33155,34.150925,107.623975
Galα1-3GalNAcβ-Sp8,Gala1-3GalNAcb-Sp8,Gala1-3GalNAcb-Sp8,12.693,17.16295,21.77205,40.201775,89.912675
Galα1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,Gala1-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,7.9081,15.031275,56.3812,2196.4311,10844.43577
Galα1-3Galβ1-3GlcNAcβ-Sp0,Gala1-3Galb1-3GlcNAcb-Sp0,Gala1-3Galb1-3GlcNAcb-Sp0,5.227575,10.264325,32.094775,999.0651,16330.9768
Galα1-3Galβ1-4GlcNAcβ-Sp8,Gala1-3Galb1-4GlcNAcb-Sp8,Gala1-3Galb1-4GlcNAcb-Sp8,41.0557,26.360025,187.300825,4282.879575,17708.82555
Galα1-3Galβ1-4Glcβ-Sp0,Gala1-3Galb1-4Glcb-Sp0,Gala1-3Galb1-4Glcb-Sp0,201.8039,10.026175,4.494125,15.201125,78.16645
,,Gala1-3Galb1-4Glc-Sp10,325.24415,,,,
Galα1-3Galβ-Sp8,Gala1-3Galb-Sp8,Gala1-3Galb-Sp8,0.457975,5.29485,10.227525,6.459675,38.700975
Galα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,6.433125,6.239375,9.3627,11.507025,94.372825
Galα1-4Galβ1-4GlcNAcβ-Sp0,Gala1-4Galb1-4GlcNAcb-Sp0,Gala1-4Galb1-4GlcNAcb-Sp0,35.068375,5.297,8.3211,20.606675,117.488325
Galα1-4Galβ1-4GlcNAcβ-Sp8,Gala1-4Galb1-4GlcNAcb-Sp8,Gala1-4Galb1-4GlcNAcb-Sp8,8.1694,8.291575,4.84675,18.3628,43.60005
Galα1-4Galβ1-4Glcβ-Sp0,Gala1-4Galb1-4Glcb-Sp0,Gala1-4Galb1-4Glcb-Sp0,8.961125,9.895775,5.6704,16.500375,105.66385
Galα1-4GlcNAcβ-Sp8,Gala1-4GlcNAcb-Sp8,Gala1-4GlcNAcb-Sp8,5.43905,12.515925,20.9957,41.013625,60.023125
Galα1-6Glcβ-Sp8,Gala1-6Glcb-Sp8,Gala1-6Glcb-Sp8,6.85565,18.265125,3.6781,17.121275,91.621025
Galβ1-2Galβ-Sp8,Galb1-2Galb-Sp8,Galb1-2Galb-Sp8,8.918225,23.72595,15.197275,53.214025,57.996925
Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,9.656225,4.687925,6.73575,55.625825,512.9649
Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,,9.9855,17.46615,74.11255,218.24885
Galβ1-3(Fucα1-4)GlcNAcβ-Sp0,Galb1-3(Fuca1-4)GlcNAcb-Sp0,Galb1-3(Fuca1-4)GlcNAc-Sp0 ,21.208925,6.61475,1.1599,6.354925,8.571975
Galβ1-3(Fucα1-4)GlcNAcβ-Sp8,Galb1-3(Fuca1-4)GlcNAc-Sp8,Galb1-3(Fuca1-4)GlcNAc-Sp8 ,14.5019,-1.5749,10.40705,12.416725,23.83855
Galβ1-3(Fucα1-4)GlcNAc-Sp8,Galb1-3(Fuca1-4)GlcNAcb-Sp8,Fuca1-4(Galb1-3)GlcNAcb-Sp8,14.29065,18.620525,13.201825,34.028525,612.661075
Galβ1-4GlcNAcβ1-6GalNAcα-Sp8,Galb1-4GlcNAcb1-6GalNAca-Sp8,Galb1-4GlcNAcb1-6GalNAca-Sp8,15.132025,2.263725,19.044125,591.2402,2229.6952
,,Galb1-4GlcNAcb1-6GalNAc-Sp14,9.399,,,,
Galβ1-3(GlcNAcβ1-6)GalNAcα-Sp8,Galb1-3(GlcNAcb1-6)GalNAca-Sp8,GlcNAcb1-6(Galb1-3)GalNAca-Sp8 ,7.9144,9.13625,10.3976,80.945625,466.18965
Galβ1-3(GlcNAcβ1-6)GalNAc-Sp14,Galb1-3(GlcNAcb1-6)GalNAc-Sp14,GlcNAcb1-6(Galb1-3)GalNAca-Sp14,8.80975,14.030325,5.54825,23.7369,117.9287
Galβ1-3(Neu5Acα2-6)GalNAcα-Sp8,Galb1-3(Neu5Aca2-6)GalNAca-Sp8,Neu5Aca2-6(Galb1-3)GalNAca-Sp8,3.86125,13.4157,28.71515,42.317275,113.0249
Galβ1-3(Neu5Acα2-6)GalNAcα-Sp14,Galb1-3(Neu5Aca2-6)GalNAca-Sp14,Neu5Aca2-6(Galb1-3)GalNAca-Sp14,5.94695,4.938125,10.1292,25.6646,43.1961
Galβ1-3(Neu5Acβ2-6)GalNAcα-Sp8,Galb1-3(Neu5Acb2-6)GalNAca-Sp8,Neu5Acb2-6(Galb1-3)GalNAca-Sp8,3.771575,15.610525,7.074575,100.667475,583.019825
Galβ1-3(Neu5Acα2-6)GlcNAcβ1-4Galβ1-4Glcβ-Sp10,Galb1-3(Neu5Aca2-6)GlcNAcb1-4Galb1-4Glcb-Sp10,Neu5Aca2-6(Galb1-3)GlcNAcb1-4Galb1-4Glcb-Sp10,9.925825,13.0727,24.048525,946.270125,4801.011475
Galβ1-3GalNAcα-Sp8,Galb1-3GalNAca-Sp8,Galb1-3GalNAca-Sp8,3.285175,5.32615,2.40375,241.7493,973.292975
Galβ1-3GalNAcα-Sp14,,Galb1-3GalNAca-Sp14,13.77415,3.0468,17.5359,143.083275,1148.925425
Galβ1-3GalNAcα-Sp16,Galb1-3GalNAca-Sp16,Galb1-3GalNAca-Sp16,4.08145,27.202425,119.6685,3803.87465,22097.4136
Galβ1-3GalNAcβ-Sp8,Galb1-3GalNAcb-Sp8,Galb1-3GalNAcb-Sp8,79.996025,6.548175,24.283625,902.94535,4164.884875
Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp0,Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,11.633925,12.97155,18.572675,1031.9414,4883.8482
Galβ1-3GalNAcβ1-4(Neu5Acα2-3)Galβ1-4Glcβ-Sp0,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,34.29695,15.62245,43.191325,1153.4003,6917.080225
Galβ1-3GalNAcβ1-4Galβ1-4Glcβ-Sp8,Galb1-3GalNAcb1-4Galb1-4Glcb-Sp8,Galb1-3GalNAcb1-4Galb1-4Glcb-Sp8,18.554975,31.713775,197.329875,3549.23795,15160.93327
Galβ1-3Galβ-Sp8,Galb1-3Galb-Sp8,Galb1-3Galb-Sp8,57.82395,11.2656,13.8941,1080.677075,5213.3642
Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,41.8505,22.839075,241.7409,6494.0025,18539.9673
Galβ1-3GlcNAcβ1-3Galβ1-4Glcβ-Sp10,Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,178.1679,9.489875,23.21785,570.79015,3136.306375
Galβ1-3GlcNAcβ-Sp0,Galb1-3GlcNAcb-Sp0,Galb1-3GlcNAcb-Sp0,8.6774,18.9863,28.50105,649.251775,3047.153225
Galβ1-3GlcNAcβ-Sp8,Galb1-3GlcNAcb-Sp8,Galb1-3GlcNAcb-Sp8,11.990225,9.242175,34.54085,36.090525,42.1121
Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Galb1-4(Fuca1-3)GlcNAcb-Sp0,Galb1-4(Fuca1-3)GlcNAcb-Sp0,7.210975,8.307975,10.313175,11.9513,19.13675
Galβ1-4(Fucα1-3)GlcNAcβ-Sp8,Galb1-4(Fuca1-3)GlcNAcb-Sp8,Galb1-4(Fuca1-3)GlcNAcb-Sp8,7.84105,8.9551,12.016075,18.30045,36.0704
Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0,Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0,2.914075,3.69495,11.999575,37.801175,50.30895
Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ1-4Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0,Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb1-4Galb1-4(Fuca1-3)GlcNAcb-Sp0,12.5654,16.3961,115.639025,2380.053425,7094.91375
Galβ1-4[6OSO3]Glcβ-Sp0,Galb1-4[6OSO3]Glcb-Sp0,Galb1-4(6S)Glcb-Sp0,144.6365,10.352775,98.85245,2304.625225,6691.967325
Galβ1-4[6OSO3]Glcβ-Sp8,Galb1-4[6OSO3]Glcb-Sp8,Galb1-4(6S)Glcb-Sp8,91.895875,298.958625,2621.994975,20333.87373,33089.46755
Galβ1-4GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,Galb1-4GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,603.63125,7.125875,16.49885,50.495475,376.052125
Galβ1-4GalNAcβ1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,Galb1-4GalNAcb1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,10.09865,4.052075,6.3161,80.924475,1879.2764
Galβ1-4GlcNAcβ1-3GalNAcα-Sp8,Galb1-4GlcNAcb1-3GalNAca-Sp8,Galb1-4GlcNAcb1-3GalNAca-Sp8,18.503525,10.2046,15.325275,32.013125,105.443
Galβ1-4GlcNAcβ1-3GalNAcα-Sp14,Galb1-4GlcNAcb1-3GalNAc-Sp14,Galb1-4GlcNAcb1-3GalNAc-Sp14,3.64125,24.638175,6.89035,40.811275,115.632925
Galβ1-4GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,8.35935,21.9224,23.71765,559.361175,3388.766125
Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,37.29645,14.43745,26.716475,997.002425,6267.691775
Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,78.67945,64.5014,388.27515,8498.916275,34235.35133
Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ-Sp0,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,301.759475,65.754725,428.148025,8415.204075,33566.44597
Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ-Sp8,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,531.288175,24.31725,23.93425,968.75795,8172.18805
Galβ1-4GlcNAcβ1-6(Galβ1-3)GalNAcα-Sp8,Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp8,Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp8,20.5791,7.835475,27.833175,719.8444,7285.6714
Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcα-Sp8,Galb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8,,,9.032525,17.203725,267.227725,1648.7598
Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAc-Sp14,Galb1-3(Galb1-4GlcNAcb1-6)GalNAc-Sp14,Galb1-4GlcNAcb1-6(Galb1-3)GalNAc-Sp14,10.45855,8.721475,3.513225,12.282825,836.6434
Galβ1-4GlcNAcβ-Sp0,Galb1-4GlcNAcb-Sp0,Galb1-4GlcNAcb-Sp0,8.791375,6.290975,-2.486475,28.862375,2501.109875
Galβ1-4GlcNAcβ-Sp8,Galb1-4GlcNAcb-Sp8,Galb1-4GlcNAcb-Sp8,5.8879,-4.507625,-0.9206,485.08345,2164.218775
,,Galb1-4GlcNAcb-Sp23,18.811075,,,,
Galβ1-4Glcβ-Sp0,Galb1-4Glcb-Sp0,Galb1-4Glcb-Sp0,13.30085,8.240075,4.4872,667.10145,2125.890875
Galβ1-4Glcβ-Sp8,Galb1-4Glcb-Sp8,Galb1-4Glcb-Sp8,15.0734,4.495175,6.519225,65.983475,1110.110725
GlcNAcα1-3Galβ1-4GlcNAcβ-Sp8,GlcNAca1-3Galb1-4GlcNAcb-Sp8,GlcNAca1-3Galb1-4GlcNAcb-Sp8,8.910225,10.83155,8.164875,21.438875,33.22815
GlcNAcα1-6Galβ1-4GlcNAcβ-Sp8,GlcNAca1-6Galb1-4GlcNAcb-Sp8,GlcNAca1-6Galb1-4GlcNAcb-Sp8,6.833275,13.3946,5.994525,55.804725,837.061675
GlcNAcβ1-2Galβ1-3GalNAcα-Sp8,GlcNAcb1-2Galb1-3GalNAca-Sp8,GlcNAcb1-2Galb1-3GalNAca-Sp8,13.27245,9.874225,10.773475,8.177125,7.685125
GlcNAcβ1-3(GlcNAcβ1-6)GalNAcα-Sp8,GlcNAcb1-3(GlcNAcb1-6)GalNAca-Sp8,GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp8,10.728725,2.7001,18.633475,7.027225,14.207125
GlcNAcβ1-3(GlcNAcβ1-6)Galβ1-4GlcNAcβ-Sp8,GlcNAcb1-3(GlcNAcb1-6)Galb1-4GlcNAcb-Sp8,GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp14,8.0545,10.084425,-0.186075,11.036575,26.51545
,,GlcNAcb1-6(GlcNAcb1-3)Galb1-4GlcNAcb-Sp8,8.47255,,,,
GlcNAcβ1-3GalNAcα-Sp8,GlcNAcb1-3GalNAca-Sp8,GlcNAcb1-3GalNAca-Sp8,7.324725,7.47235,5.3441,12.9069,7.419875
GlcNAcβ1-3GalNAcα-Sp14,GlcNAcb1-3GalNAca-Sp14,GlcNAcb1-3GalNAca-Sp14,14.701225,10.799425,4.753175,18.8869,20.713425
GlcNAcβ1-3Galβ-Sp8,GlcNAcb1-3Galb-Sp8,GlcNAcb1-3Galb-Sp8,9.247775,3.069125,18.294475,269.205775,3106.20335
GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAcb1-3Galb1-4GlcNAcb-Sp0,26.941475,10.8614,21.6313,275.906125,2584.8909
GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp8,GlcNAcb1-3Galb1-4GlcNAcb-Sp8,GlcNAcb1-3Galb1-4GlcNAcb-Sp8,19.4206,2.78195,13.371,444.373375,3029.019025
GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,34.599925,6.039625,87.258175,2156.324575,15485.45293
GlcNAcβ1-3Galβ1-4Glcβ-Sp0,GlcNAcb1-3Galb1-4Glcb-Sp0,GlcNAcb1-3Galb1-4Glcb-Sp0,125.42275,20.16635,21.769425,13.016525,58.304075
GlcNAcβ1-4-MDPLys,GlcNAcb1-4-MDPLys,GlcNAcb1-4-MDPLys,3.8398,18.980825,8.08695,11.139525,63.798025
GlcNAcβ1-4(GlcNAcβ1-6)GalNAcα-Sp8,GlcNAcb1-4(GlcNAcb1-6)GalNAca-Sp8,GlcNAcb1-6(GlcNAcb1-4)GalNAca-Sp8,12.716325,14.606125,2.2251,2.9846,-2.60285
GlcNAcβ1-4Galβ1-4GlcNAcβ-Sp8,GlcNAcb1-4Galb1-4GlcNAcb-Sp8,GlcNAcb1-4Galb1-4GlcNAcb-Sp8,8.024525,6.65965,0.831675,16.594,22.959825
GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ1-4β-Sp8,(GlcNAcb1-4)6b-Sp8,GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,13.165875,4.8656,0.516625,10.1229,15.054775
GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,(GlcNAcb1-4)5b-Sp8,GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,15.406775,11.9583,5.352075,20.46815,33.3059
GlcNAcβ1-4GlcNAcβ1-4GlcNAcβ-Sp8,GlcNAcb1-4GlcNAcb1-4GlcNAcb-Sp8,GlcNAcb1-4GlcNAcb1-4GlcNAcb-Sp8,10.97655,1.617625,1.468025,4.823625,15.855725
GlcNAcβ1-6(Galβ1-3)GalNAcα-Sp8,GlcNAcb1-6(Galb1-3)GalNAca-Sp8,,,12.9364,5.687825,23.432225,19.417175
GlcNAcβ1-6GalNAcα-Sp8,GlcNAcb1-6GalNAca-Sp8,GlcNAcb1-6GalNAca-Sp8,10.25495,3.52645,5.47875,22.14915,22.981475
GlcNAcβ1-6GalNAcα-Sp14,GlcNAcb1-6GalNAca-Sp14,GlcNAcb1-6GalNAca-Sp14,5.093675,-0.39425,-2.218225,-3.144325,-8.98285
GlcNAcβ1-6Galβ1-4GlcNAcβ-Sp8,GlcNAcb1-6Galb1-4GlcNAcb-Sp8,GlcNAcb1-6Galb1-4GlcNAcb-Sp8,5.59195,-0.23325,-7.517175,1.32335,20.249775
Glcα1-4Glcβ-Sp8,Glca1-4Glcb-Sp8,Glca1-4Glcb-Sp8,-0.23385,8.328475,12.611175,9.35915,25.095675
Glcα1-4Glcα-Sp8,Glca1-4Glca-Sp8,Glca1-4Glca-Sp8,7.554375,15.8466,11.420675,2.07105,11.87055
Glcα1-6Glcα1-6Glcβ-Sp8,Glca1-6Glca1-6Glcb-Sp8,Glca1-6Glca1-6Glcb-Sp8,1.912775,23.308225,11.2587,20.701425,33.843125
Glcβ1-4Glcβ-Sp8,Glcb1-4Glcb-Sp8,Glcb1-4Glcb-Sp8,8.38755,-0.350625,4.618725,22.715975,32.18485
Glcβ1-6Glcβ-Sp8,Glcb1-6Glcb-Sp8,Glcb1-6Glcb-Sp8,12.474675,7.0225,9.874475,16.94265,36.37395
G-ol-Sp8,G-ol-Sp8,G-ol-Sp8,12.4824,7.7594,6.3951,36.769025,102.40365
GlcAα-Sp8,GlcAa-Sp8,GlcAa-Sp8,10.255,112.991375,124.508575,202.655,299.3496
GlcAβ-Sp8,GlcAb-Sp8,GlcAb-Sp8,19.14785,28.410075,28.9383,31.544525,49.4687
GlcAβ1-3Galβ-Sp8,GlcAb1-3Galb-Sp8,GlcAb1-3Galb-Sp8,6.668025,6.2058,14.24345,13.280525,6.5661
GlcAβ1-6Galβ-Sp8,GlcAb1-6Galb-Sp8,GlcAb1-6Galb-Sp8,9.6275,14.0973,3.708475,28.61935,75.8382
KDNα2-3Galβ1-3GlcNAcβ-Sp0,KDNa2-3Galb1-3GlcNAcb-Sp0,KDNa2-3Galb1-3GlcNAcb-Sp0,5.752375,4.4383,8.0384,21.334475,102.396725
KDNα2-3Galβ1-4GlcNAcβ-Sp0,KDNa2-3Galb1-4GlcNAcb-Sp0,KDNa2-3Galb1-4GlcNAcb-Sp0,14.63785,8.55305,13.010075,5.78555,11.1845
Manα1-2Manα1-2Manα1-3Manα-Sp9,Mana1-2Mana1-2Mana1-3Mana-Sp9,Mana1-2Mana1-2Mana1-3Mana-Sp9,8.41725,11.189375,7.18035,4.391475,20.7162
Manα1-2Manα1-3(Manα1-2Manα1-6)Manα-Sp9,Mana1-2Mana1-3(Mana1-2Mana1-6)Mana-Sp9,Mana1-2Mana1-6(Mana1-2Mana1-3)Mana-Sp9,5.015625,12.0968,14.441,22.48515,29.389525
Manα1-2Manα1-3Manα-Sp9,Mana1-2Mana1-3Mana-Sp9,Mana1-2Mana1-3Mana-Sp9,2.5904,0.439525,7.400775,13.621275,10.7971
Manα1-6(Manα1-2Manα1-3)Manα1-6(Manα1-2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Mana1-6[Mana1-2Mana1-3]Mana1-6[Mana1-2Mana1-3]Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,5.336325,4.68065,2.469825,28.6828,33.779025
Manα1-2Manα1-6(Manα1-3)Manα1-6(Manα1-2Manα1-2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Mana1-2Mana1-6(Mana1-3)Mana1-6[Mana1-2Mana1-2Mana1-3]Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Mana1-2Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,8.131025,38.102125,63.152325,70.885325,98.82895
Manα1-2Manα1-2Manα1-3(Manα1-2Manα1-3(Manα1-2Manα1-6)Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Mana1-2Mana1-2Mana1-3(Mana1-2Mana1-3(Mana1-2Mana1-6)Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Mana1-2Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,7.735575,10.124575,6.87475,17.898475,45.942825
Manα1-3(Manα1-6)Manα-Sp9,Mana1-3(Mana1-6)Mana-Sp9,Mana1-6(Mana1-3)Mana-Sp9,11.329775,19.257375,19.45605,20.00225,54.6927
Manα1-3(Manα1-2Manα1-2Manα1-6)Manα-Sp9,Mana1-3(Mana1-2Mana1-2Mana1-6)Mana-Sp9,Mana1-2Mana1-2Mana1-6(Mana1-3)Mana-Sp9,2.102075,130.812525,220.2033,286.929425,391.42325
Manα1-6(Manα1-3)Manα1-6(Manα1-2Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Mana1-6(Mana1-3)Mana1-6[Mana1-2Mana1-3]Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,19.673825,10.258325,5.340825,16.175425,71.10985
Manα1-6(Manα1-3)Manα1-6(Manα1-3)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12,Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4 GlcNAcb-Sp12,Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,16.956525,19.04845,9.123475,4.9962,15.463325
Manβ1-4GlcNAcβ-Sp0,Manb1-4GlcNAcb-Sp0,Manb1-4GlcNAcb-Sp0,15.212,9.5475,11.190225,10.289975,26.134075
Neu5Acα2-3Galβ1-4GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAc-Sp0,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAc-Sp0,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,5.544075,19.69995,15.761525,81.024,723.481025
[3OSO3]Galβ1-4(Fucα1-3)[6OSO3]GlcNAc-Sp8,[3OSO3]Galb1-4(Fuca1-3)[6OSO3]GlcNAc-Sp8 ,(3S)Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8 ,5.908875,20.81975,15.363375,18.208325,28.44095
Fucα1-2[6OSO3]Galβ1-4GlcNAc-Sp0,Fuca1-2[6OSO3]Galb1-4GlcNAc-Sp0,Fuca1-2(6S)Galb1-4GlcNAcb-Sp0,16.4354,10.8489,30.50635,887.1804,2988.35935
Fucα1-2Galβ1-4[6OSO3]GlcNAc-Sp8,Fuca1-2Galb1-4[6OSO3]GlcNAc-Sp8,Fuca1-2Galb1-4(6S)GlcNAcb-Sp8,25.3769,25.49415,11.2792,32.306525,34.6683
