ancient,old,new,SBA 0.1ug/ml Slide#14032 CFG# 2342 v5.0 Alexa488 6/27/11 HJ,SBA 1ug/ml Slide#14041 CFG#2342 v5.0 Alexa488 6/27/11 HJ,SBA 10ug/ml Slide#14042 CFG#2342 v5.0 Alexa488 6/27/11 HJ,SBA 100ug/ml Slide#14032 CFG#2342 v5.0 Alexa488 6/27/11 HJ,SBA(EY lab) (10ug/ml) Slide#14173 rRequest#2342 Alexa488 2011-7-6 YL,SBA (1 ug/ml) Slide#13684 Request#non Mahal project 4/15/2011 Alexa488 YL ,SBA (10 ug/ml) Slide#13637 Request#non Mahal project 4/11/2011 Alexa488 YL ,SBA (100 ug/ml) Slide#13684 Request#non Mahal project 4/15/2011 Alexa488 YL
Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAc-Sp0,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAc-Sp0,11.64065,8.465924999999999,1.045625,-21.91535,0.05102499999999921,6.8878249999999985,-43.17030000000001,-20.884699999999995
Galβ1-3GlcNΑcβ1-3(Galβ1-3GlcNΑcβ1-3Galβ1-4GlcNΑcβ1-6)Galβ1-4Glcβ-Sp0,Galb1-3GlcNacb1-3(Galb1-3GlcNacb1-3Galb1-4GlcNacb1-6)Galb1-4Glcb-Sp0,Galb1-3GlcNacb1-3Galb1-4GlcNacb1-6(Galb1-3GlcNacb1-3)Galb1-4Glcb-Sp0,15.72665,16.246225000000006,7.4583499999999985,99.05200000000002,-0.5367999999999995,-8.21875,-93.816175,-25.835075000000003
Galβ1-3GlcNAcβ1-3(Galβ1-4(Fucα1-3)GlcNAcβ1-6)Galβ1-4Glc-Sp21,Galb1-3GlcNAcb1-3(Galb1-4(Fuca1-3)GlcNAcb1-6)Galb1-4Glc-Sp21 ,Galb1-4(Fuca1-3)GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21 ,16.329724999999996,4.328975000000002,16.581125,10.377474999999997,9.413050000000004,-6.137725000000001,-14.646025000000007,-21.3863
Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)Galβ1-4Glc-Sp21,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-3(Galb1-4GlcNAcb1-6)Galb1-4Glc-Sp21,Galb1-4GlcNAcb1-6(Fuca1-4(Fuca1-2Galb1-3)GlcNAcb1-3)Galb1-4Glc-Sp21,17.129900000000006,12.48945,3.86765,3.560949999999991,6.842050000000004,-10.724675000000003,-13.223525000000002,-7.0544249999999975
Fucα1-2Galβ1-3(Fucα1-4)GlcNAcβ1-3(Galβ1-4(Fucα1-3)GlcNAcβ1-6)Galβ1-4Glc-Sp21,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-3(Galb1-4(Fuca1-3)GlcNAcb1-6)Galb1-4Glc-Sp21,Galb1-4(Fuca1-3)GlcNAcb1-6(Fuca1-4(Fuca1-2Galb1-3)GlcNAcb1-3)Galb1-4Glc-Sp21,2.9960500000000017,14.791225000000004,0.2573249999999998,14.029274999999998,2.4688250000000007,-11.635925000000006,-10.474649999999997,-24.174824999999995
Galβ1-3GlcNAcβ1-3(Galβ1-3GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-6)Galβ1-4Glc-Sp21,Galb1-3GlcNAcb1-3(Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-6)Galb1-4Glc-Sp21 ,Galb1-3GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21 ,13.486999999999995,10.504375,23.831000000000003,133.411075,15.9782,3.5453500000000027,1.8477249999999932,-10.33555
Galβ1-4GlcNΑcβ1-2(Galβ1-4GlcNΑcβ1-4)Manα1-3(Galβ1-4GlcNΑcβ1-2(Galβ1-4GlcNΑcβ1-6)Manα1-6)Manβ1-4GlcNΑcβ1-4GlcNΑcβ-Sp21,Galb1-4GlcNacb1-2(Galb1-4GlcNacb1-4)Mana1-3(Galb1-4GlcNacb1-2(Galb1-4GlcNacb1-6)Mana1-6)Manb1-4GlcNacb1-4GlcNacb-Sp21,Galb1-4GlcNacb1-6(Galb1-4GlcNacb1-2)Mana1-6(Galb1-4GlcNacb1-4(Galb1-4GlcNacb1-2)Mana1-3)Manb1-4GlcNacb1-4GlcNacb-Sp21,6.669049999999999,4.0783749999999985,165.18435,10580.8129,12.28515,-2.691675000000004,-28.628725000000006,362.87747499999983
GlcNΑcβ1-2(GlcNΑcβ1-4)Manα1-3(GlcNΑcβ1-2Manα1-6)Manβ1-4GlcNΑcβ1-4GlcNΑc-Sp21,GlcNacb1-2(GlcNacb1-4)Mana1-3(GlcNacb1-2Mana1-6)Manb1-4GlcNacb1-4GlcNac-Sp21,GlcNacb1-2Mana1-6(GlcNacb1-4(GlcNacb1-2)Mana1-3)Manb1-4GlcNacb1-4GlcNac-Sp21,1.3630250000000004,15.624299999999998,15.536075000000002,-45.843175,5.332549999999999,0.2962750000000014,-15.886425000000004,-16.426700000000004
Fucα1-2Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,4.472699999999999,0.4099749999999993,6.6436249999999974,-34.496949999999984,2.3992250000000013,-6.6228750000000005,-20.97742499999999,-35.646
Fucα1-2Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,5.1373250000000015,11.147849999999998,0.5288750000000011,-18.770950000000006,0.8719999999999981,-12.134774999999998,-26.435025,-18.83055
Galβ1-3GlcNAcβ1-3GalNAcα-Sp14,Galb1-3GlcNAcb1-3GalNAca-Sp14,Galb1-3GlcNAcb1-3GalNAca-Sp14,15.622675000000005,5.414449999999999,5.274124999999998,80.850875,3.381400000000001,20.2278,-56.5397,-32.90424999999999
Neu5Acα2-3(GalNAcβ1-4)Galβ1-4GlcNAcβ1-3GalNAcα-Sp14,Neu5Aca2-3(GalNAcb1-4)Galb1-4GlcNAcb1-3GalNAca-Sp14,GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb1-3GalNAca-Sp14,48.765025,85.88725,61.55987500000001,245.57117500000004,9.625,-4.748424999999996,3.1644500000000018,-12.570675000000007
GalNAcα1-3(Fucα1-2)Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,-1.466425000000001,-4.827025000000001,2.00915,960.962575,17.733550000000008,-9.8399,-53.61322499999998,-45.15342500000001
Galα1-3Galβ1-3GlcNAcβ1-2Manα1-3(Galα1-3Galβ1-3GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAc-Sp19,Gala1-3Galb1-3GlcNAcb1-2Mana1-3(Gala1-3Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAc-Sp19,Gala1-3Galb1-3GlcNAcb1-2Mana1-6(Gala1-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,23.176175000000004,16.676524999999998,23.063125,-27.730124999999994,8.79375,-5.796599999999998,-7.5166499999999985,-18.988875000000004
Galα1-3Galβ1-3(Fucα1-4)GlcNAcβ1-2Manα1-3(Galα1-3Galβ1-3(Fucα1-4)GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAc-Sp19,Gala1-3Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3(Gala1-3Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAc-Sp19,Gala1-3Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6(Gala1-3Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,2.9037000000000024,12.897025,4.2567249999999985,-3.5101499999999817,18.994425,-12.75785,-45.01990000000001,-45.6964
Galβ1-4GlcNAcβ1-2Manα1-3(GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAc-Sp12,Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAc-Sp19,Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,22.482125,44.5535,12.06185,63.21289999999999,24.34275000000001,16.733274999999992,15.079675000000027,3.288850000000004
GlcNAcβ1-2Manα1-3(Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAc-Sp12,Galb1-4GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAc-Sp12,GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp12,3.996699999999999,-0.16434999999999975,15.881649999999995,-3.8375,44.205499999999994,-1.6333749999999974,-11.055725,26.65795000000001
,GlcNAcb1-2Mana1-3(Galb1-4GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAc-Sp12,Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp12,8.780899999999999,10.283425,5.077824999999999,7.839525000000003,6.25785,-7.4639999999999995,-15.470575,-19.69405
Neu5Acα2-3Galβ1-3GlcNAcβ1-3GalNAcα-Sp14,Neu5Aca2-3Galb1-3GlcNAcb1-3GalNAca-Sp14,Neu5Aca2-3Galb1-3GlcNAcb1-3GalNAca-Sp14,10.444625000000002,5.2943,21.528074999999994,24.356725,11.500275000000006,-12.303674999999995,-17.510249999999996,-12.074775
Fucα1-2Galβ1-4GlcNΑcβ1-3GalNΑcα-Sp14,Fuca1-2Galb1-4GlcNacb1-3GalNaca-Sp14,Fuca1-2Galb1-4GlcNacb1-3GalNaca-Sp14,11.162175,9.946500000000002,18.518975000000005,6.641375,23.123975,3.3066250000000017,-27.805825,-9.61325
Galβ1-4(Fucα1-3)GlcNΑcβ1-3GalNΑcα-Sp14,Galb1-4(Fuca1-3)GlcNacb1-3GalNaca-Sp14,Galb1-4(Fuca1-3)GlcNacb1-3GalNaca-Sp14,28.937600000000003,32.443675000000006,22.112300000000005,-1.8822249999999767,8.2169,2.166724999999998,9.543524999999997,-11.853900000000005
GalNΑcα1-3GalNΑcβ1-3Galα1-4Galβ1-4GlcNΑcβ-Sp0,GalNaca1-3GalNacb1-3Gala1-4Galb1-4GlcNacb-Sp0,GalNaca1-3GalNacb1-3Gala1-4Galb1-4GlcNacb-Sp0,390.49,6344.198399999998,29974.064949999996,38192.220325,9808.527150000002,10.821625,1899.865175,29532.974500000004
Galα1-4Galβ1-3GlcNΑcβ1-2Manα1-3(Galα1-4Galβ1-3GlcNΑcβ1-2Manα1-6)Manβ1-4GlcNΑcβ1-4GlcNΑcβ-Sp19,Gala1-4Galb1-3GlcNacb1-2Mana1-3(Gala1-4Galb1-3GlcNacb1-2Mana1-6)Manb1-4GlcNacb1-4GlcNacb-Sp19,Gala1-4Galb1-3GlcNacb1-2Mana1-6(Gala1-4Galb1-3GlcNacb1-2Mana1-3)Manb1-4GlcNacb1-4GlcNacb-Sp19,1082.879625,12786.518250000005,33555.311050000004,35648.6584,13412.454874999996,2.527124999999998,1203.473775,21640.061025
Galα1-4Galβ1-4GlcNΑcβ1-2Manα1-3(Galα1-4Galβ1-4GlcNΑcβ1-2Manα1-6)Manβ1-4GlcNΑcβ1-4GlcNΑcβ-LVΑNKT,Gala1-4Galb1-4GlcNacb1-2Mana1-3(Gala1-4Galb1-4GlcNacb1-2Mana1-6)Manb1-4GlcNacb1-4GlcNacb-LVaNKT,Gala1-4Galb1-4GlcNacb1-2Mana1-6(Gala1-4Galb1-4GlcNacb1-2Mana1-3)Manb1-4GlcNacb1-4GlcNacb-Sp24,17.854499999999994,139.30577499999998,3648.121575,24185.202900000004,60.21775,8.67795,-11.94574999999999,183.324925
Galα1-3Galβ1-4GlcNΑcβ1-3GalNΑcα-Sp14,Gala1-3Galb1-4GlcNacb1-3GalNaca-Sp14,Gala1-3Galb1-4GlcNacb1-3GalNaca-Sp14,5.163225,5.630424999999999,7.516199999999999,-14.407374999999995,3.9107,4.7809500000000025,-30.041125000000008,-16.036125
Galβ1-3GlcNAcβ1-6Galβ1-4GlcNAcβ-Sp0,Galb1-3GlcNAcb1-6Galb1-4GlcNAcb-Sp0,Galb1-3GlcNAcb1-6Galb1-4GlcNAcb-Sp0,6.39805,3.5869,3.92085,1.2460499999999968,3.2620249999999995,-7.272849999999997,-70.9724,-10.577575000000003
Galβ1-3GlcNAcα1-6Galβ1-4GlcNAcβ-Sp0,Galb1-3GlcNAca1-6Galb1-4GlcNAcb-Sp0,Galb1-3GlcNAca1-6Galb1-4GlcNAcb-Sp0,14.039549999999998,3.9985750000000015,-1.9358999999999995,-12.74295,3.0059499999999977,17.350974999999995,-35.660725,-8.73825
GalNAcβ1-3Galα1-6Galβ1-4Glcβ-Sp8,GalNAcb1-3Gala1-6Galb1-4Glcb-Sp8,GalNAcb1-3Gala1-6Galb1-4Glcb-Sp8,28.682475,884.863625,15469.085450000002,35733.580275,588.129375,7.2064499999999985,-0.058099999999992484,2755.370025
GlcNAcβ1-6(GlcNAcβ1-3)GalNAcα-Sp14,GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp14,,,,,,,,,
Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)Glcβ-Sp21,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)Glcb-Sp21,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)Glcb-Sp21,13.476875,7.902425000000001,6.7677999999999985,31.983375,18.758800000000004,-2.332825000000001,1.2082749999999969,-10.089624999999998
Neu5Acα2-6Galβ1-3GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)Galβ1-4Glc-Sp21,Neu5Aca2-6Galb1-3GlcNAcb1-3(Galb1-4GlcNAcb1-6)Galb1-4Glc-Sp21,Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-3GlcNAcb1-3)Galb1-4Glc-Sp21,13.406525000000006,2.9825250000000025,19.878049999999995,-30.170675,3.2016749999999963,7.083550000000002,-12.68935,-3.841275000000007
Galβ1-3GalNAcβ1-4(Neu5Acα2-8Neu5Acα2-3)Galβ1-4Glcβ-Sp0,Galb1-3GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,Galb1-3GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,9.061500000000002,10.269225000000002,17.630575000000007,3405.6538,-1.6889999999999992,4.6927500000000055,-11.517225,-25.799500000000005
Neu5Acα2-3Galβ1-3GalNAcβ1-4(Neu5Acα2-8Neu5Acα2-3)Galβ1-4Glcβ-Sp0,Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,4.658425000000001,5.724500000000001,3.3871499999999983,-35.741175,3.073425000000001,-8.683075,-15.660149999999998,-31.09095000000001
Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-3GalNAcα-Sp14,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-3GalNAca-Sp14,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-3GalNAca-Sp14,9.741225,10.799175000000005,6.666950000000003,-40.49289999999999,8.6302,1.0749750000000038,-20.713600000000003,-34.14739999999999
GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-3GalNAcα-Sp14,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3GalNAca-Sp14,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3GalNAca-Sp14,2.686275,2.623125,9.423050000000003,-15.323449999999996,9.588025000000002,1.3831500000000003,-23.37137500000001,-17.630675
GalNAcα1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Sp0,GalNAca1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,GalNAca1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,299.980575,7411.296100000002,28030.704725000003,25307.801700000004,9324.495875,2.6465999999999994,790.4922250000003,26708.489924999994
Fucα1-2Galβ1-4(Fucα1-3)GlcNAcβ1-3GalNAcα-Sp14,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,30.03997499999999,34.012975,38.437675,-110.415975,28.014425000000006,-12.140825,70.51579999999998,4.8922250000000105
Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ1-3GalNAc-Sp14,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb1-3GalNAc-Sp14,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb1-3GalNAc-Sp14,7.944675,29.250350000000005,8.839249999999991,-21.681349999999995,10.75175,-9.651075000000002,-54.641975,-55.12655000000001
